iter	Logloss
0	0.4996479092
1	0.3781820489
2	0.3238727688
3	0.2918221177
4	0.2781023043
5	0.2386796289
6	0.199029422
7	0.1813113397
8	0.1603278966
9	0.1365175501
10	0.1113678265
11	0.1049873652
12	0.09833195221
13	0.09778506515
14	0.08969158528
15	0.08848033404
16	0.07786341256
17	0.07742506817
18	0.07567257446
19	0.06566178089
20	0.06150261788
21	0.06107584922
22	0.05869584544
23	0.05773007792
24	0.05741207787
25	0.05722028365
26	0.057068458
27	0.05694599627
28	0.05684717495
29	0.05459327153
30	0.05187958991
31	0.04742598113
32	0.04613296488
33	0.04257063556
34	0.04115953837
35	0.03867747656
36	0.03846779852
37	0.03839569017
38	0.03817254338
39	0.03726859564
40	0.03296766331
41	0.03295311545
42	0.0329413523
43	0.03187068189
44	0.0318604866
45	0.03145964638
46	0.03145393188
47	0.03055225166
48	0.03024057921
49	0.02937578603
50	0.02888408861
51	0.02755329269
52	0.02733114144
53	0.02732066064
54	0.02661322111
55	0.02644467412
56	0.02644467038
57	0.02542824283
58	0.02542821747
59	0.02505686408
60	0.02488531511
61	0.02456246541
62	0.02453629868
63	0.0240288061
64	0.02309411398
65	0.02271148453
66	0.0225702369
67	0.02155668019
68	0.02102375903
69	0.02070768514
70	0.02038840309
71	0.02036565086
72	0.01943422119
73	0.01936842221
74	0.01870332563
75	0.0186943787
76	0.01843236767
77	0.01778451916
78	0.0177845144
79	0.01748194319
80	0.01747295382
81	0.01709038156
82	0.01707190113
83	0.01685682456
84	0.01631372418
85	0.01627795022
86	0.01564228141
87	0.01481074041
88	0.01477982239
89	0.01446209159
90	0.01378514013
91	0.01378509958
92	0.01378504633
93	0.01377437891
94	0.01372911019
95	0.01335857011
96	0.0130342278
97	0.01264070867
98	0.01211166018
99	0.0116564837
100	0.01155035409
101	0.01151810335
102	0.01121531988
103	0.01112642337
104	0.01078141317
105	0.01047144009
106	0.01024291985
107	0.0100824973
108	0.009799693684
109	0.009529351733
110	0.009345194448
111	0.009078177776
112	0.008917781641
113	0.008721855764
114	0.00849938445
115	0.008183145889
116	0.007896040967
117	0.007672704696
118	0.007360797555
119	0.007207119815
120	0.006997596259
121	0.00687396741
122	0.006753668866
123	0.006642894932
124	0.006348972506
125	0.006179481585
126	0.00602852251
127	0.005847752238
128	0.005708208421
129	0.005407865102
130	0.005289438746
131	0.005092720582
132	0.004982440929
133	0.004878612309
134	0.004830262463
135	0.004759571289
136	0.004641673565
137	0.004532327188
138	0.004448291797
139	0.004352110869
140	0.004248027777
141	0.004185379966
142	0.004128756007
143	0.004063964438
144	0.003997160612
145	0.00382405167
146	0.003721375747
147	0.003606480315
148	0.003550474674
149	0.003486520355
150	0.003405779689
151	0.003342730016
152	0.003265885931
153	0.003191358202
154	0.003114072746
155	0.003053657489
156	0.002964243651
157	0.002933701476
158	0.002891479931
159	0.002891479931
160	0.00285946359
161	0.002790291744
162	0.002698006926
163	0.002575915803
164	0.002575915803
165	0.002551031661
166	0.002533437239
167	0.002513999342
168	0.002483743359
169	0.002440465966
170	0.002399969852
171	0.002359203558
172	0.002325523032
173	0.002305111592
174	0.002275825591
175	0.002257113007
176	0.002216516321
177	0.002194536337
178	0.002178950872
179	0.002147070334
180	0.00210713177
181	0.002086811416
182	0.002065135474
183	0.002015900059
184	0.001996267328
185	0.001962871613
186	0.001962852776
187	0.001948287316
188	0.001932968863
189	0.001905711482
190	0.00187415505
191	0.001864353279
192	0.001847087996
193	0.001847087996
194	0.001827669882
195	0.001827663568
196	0.001827657256
197	0.001827644636
198	0.001827630177
199	0.00182761757
200	0.00182760497
201	0.001827592377
202	0.00182757979
203	0.00182756721
204	0.00182756721
205	0.001827552146
206	0.001827552146
207	0.001827552146
208	0.001827552146
209	0.001811344644
210	0.001811338702
211	0.001811332762
212	0.001811326823
213	0.001811320886
214	0.00181131495
215	0.001811309016
216	0.001811297152
217	0.001811291223
218	0.001811285295
219	0.001811279369
220	0.001811273444
221	0.001811267521
222	0.001811261599
223	0.001811255679
224	0.00181124976
225	0.001811243843
226	0.001811237927
227	0.001811232013
228	0.001811226101
229	0.00181122019
